# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
1.060000000000000053e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.072456146992717834e+02,-6.686307251670920948e+01,9.450916418962287935e+01
1.070000000000000062e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.041734562845949768e+02,-6.792507034144159661e+01,9.439672913666061049e+01
1.080000000000000071e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.009777430226671271e+02,-6.895497917565742796e+01,9.428259459386596575e+01
1.090000000000000080e+00,2.500000000000000000e+01,1.000000000000000000e+00,-9.766886033369459597e+01,-6.995144517558868813e+01,9.416674393994540537e+01
1.100000000000000089e+00,2.500000000000000000e+01,1.000000000000000000e+00,-9.425775404164032523e+01,-7.091320435595089577e+01,9.404916205614900093e+01
1.110000000000000098e+00,2.500000000000000000e+01,1.000000000000000000e+00,-9.075587773922410406e+01,-7.183908742594083208e+01,9.392983535406116857e+01
1.120000000000000107e+00,2.500000000000000000e+01,1.000000000000000000e+00,-8.717513665268049294e+01,-7.272802441481155711e+01,9.380875179363511052e+01
1.130000000000000115e+00,2.500000000000000000e+01,1.000000000000000000e+00,-8.352782834119938116e+01,-7.357904919766836827e+01,9.368590089145833133e+01
1.140000000000000124e+00,2.500000000000000000e+01,1.000000000000000000e+00,-7.982658059970448505e+01,-7.439130406183086563e+01,9.356127371935383508e+01
1.150000000000000133e+00,2.500000000000000000e+01,1.000000000000000000e+00,-7.608428696739488828e+01,-7.516404448193364374e+01,9.343486289353364782e+01
1.159999999999999920e+00,2.500000000000000000e+01,1.000000000000000000e+00,-7.231404027699254300e+01,-7.589664429329727113e+01,9.330666255462730874e+01
1.169999999999999929e+00,2.500000000000000000e+01,1.000000000000000000e+00,-6.852906470958848217e+01,-7.658860146145256920e+01,9.317666833900554479e+01
1.179999999999999938e+00,2.500000000000000000e+01,1.000000000000000000e+00,-6.474264684585195084e+01,-7.723954463249395985e+01,9.304487734190787762e+01
1.189999999999999947e+00,2.500000000000000000e+01,1.000000000000000000e+00,-6.096806622429836153e+01,-7.784924060407030311e+01,9.291128807296091452e+01
1.199999999999999956e+00,2.500000000000000000e+01,1.000000000000000000e+00,-5.721852592896541978e+01,-7.841760276991408318e+01,9.277590040474059663e+01
1.209999999999999964e+00,2.500000000000000000e+01,1.000000000000000000e+00,-5.350708372937855017e+01,-7.894470045358771415e+01,9.263871551508646007e+01
1.219999999999999973e+00,2.500000000000000000e+01,1.000000000000000000e+00,-4.984658428188701151e+01,-7.943076885704671497e+01,9.249973582391832849e+01
1.229999999999999982e+00,2.500000000000000000e+01,1.000000000000000000e+00,-4.624959287015609988e+01,-7.987621911441679856e+01,9.235896492533647972e+01
1.239999999999999991e+00,2.500000000000000000e+01,1.000000000000000000e+00,-4.272833111143394547e+01,-8.028164768343262381e+01,9.221640751580709150e+01
1.250000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.929461498366158168e+01,-8.064784406570083775e+01,9.207206931924527282e+01
